Date,Close,Adj Close,Volume,DGS10,VIXCLS,Close_outlier,Adj Close_outlier,Volume_outlier,DGS10_outlier,VIXCLS_outlier,Dividend_Growth,Daily_Return,Rolling_Volatility_5D,Rolling_Volatility_20D,Rolling_Volatility_60D,Price_Momentum_20D,Volume_Change,VIX_JPM_Correlation_20D,Interest_Rate_Momentum_20D,Sentiment_Score,VIX_Change_20D,Treasury_Yield_Change_20D
2018-03-29,109.97,87.57,13274600.0,2.74,19.97,0,0,0,0,0,0.21568627450980382,0.018255813953488298,0.024377633863476102,0.017037345986253286,0.016015966355726257,-0.030554633012288335,-0.3082290651561026,-0.453791421461943,-0.06999999999999984,0.8528691868370954,-0.11125945705384954,-0.06999999999999984
2018-04-02,107.85,85.88,18822500.0,2.73,23.62,0,0,0,0,0,0.21568627450980382,-0.01929884663697612,0.022471745502591668,0.017499130097860503,0.01621886148156222,-0.04831560283687941,0.4179334970545252,-0.49529624481860535,-0.1299999999999999,0.8032363339679086,0.20571720265441562,-0.1299999999999999
2018-04-03,109.33,87.06,14050700.0,2.79,21.1,0,0,0,0,0,0.21568627450980382,0.013740102468560833,0.017734064568778733,0.0174201243876256,0.016209737774378258,-0.04977079240340543,-0.25351573914198433,-0.4536909428646785,-0.08999999999999986,0.8375033995104705,0.12653497063534447,-0.08999999999999986
2018-04-04,110.99,88.38,15302600.0,2.79,20.06,0,0,0,0,0,0.21568627450980382,0.015161957270847681,0.01572732469748156,0.017849352349856584,0.016299915553954287,-0.03620501635768825,0.08909876376265946,-0.426288184447713,-0.08999999999999986,0.8516453630677183,0.09259259259259256,-0.08999999999999986
2018-04-05,111.88,89.54,16627000.0,2.83,18.94,0,0,0,0,0,0.21568627450980382,0.013125141434713772,0.015497778171878078,0.018143646851167494,0.01638047306506651,-0.019921190893169793,0.086547384104662,-0.4303664245590282,-0.06000000000000005,0.8668751699755235,0.06644144144144137,-0.06000000000000005
2018-04-06,109.09,87.31,18906000.0,2.77,21.49,0,0,0,0,0,0.21568627450980382,-0.024905070359615866,0.019891613148456472,0.01891971361992929,0.016699688328550486,-0.044434715989931095,0.13706621759788296,-0.4582219351833361,-0.08999999999999986,0.8322001631765026,0.29927448609431684,-0.08999999999999986
2018-04-09,110.4,88.36,15974300.0,2.78,21.77,0,0,0,0,0,0.21568627450980382,0.012026113847211084,0.017218526449165394,0.017819058737524093,0.01671208401623062,-0.06000000000000005,-0.15506717444197604,-0.3210461864475623,-0.1200000000000001,0.8283927114495513,0.4870218579234973,-0.1200000000000001
2018-04-10,112.51,90.05,13951400.0,2.8,20.47,0,0,0,0,0,0.21568627450980382,0.01912630149388872,0.01798842738073661,0.018488097821710816,0.016877191723917946,-0.03885153164692068,-0.12663465691767406,-0.3242085151589343,-0.07000000000000028,0.846070165896111,0.29721166032953095,-0.07000000000000028
2018-04-11,110.62,88.53,14503300.0,2.79,20.24,0,0,0,0,0,0.21568627450980382,-0.01687951138256516,0.01991638527701722,0.0186622279059263,0.01688947718762743,-0.04364264880630864,0.03955875396017605,-0.38645185929862014,-0.04999999999999982,0.8491977155289638,0.23792048929663578,-0.04999999999999982
2018-04-12,113.37,90.74,16435500.0,2.83,18.49,0,0,0,0,0,0.21568627450980382,0.02496328928046987,0.022347890573476786,0.019467096940403578,0.01718864309194042,-0.008739348918505696,0.13322485227499947,-0.47257396731863255,0.020000000000000018,0.8729942888224096,0.07312826465467204,0.020000000000000018
2018-04-13,110.3,88.28,39152800.0,2.82,17.41,0,0,1,0,0,0.21568627450980382,-0.027110425391227655,0.023043951782569034,0.02035203725128619,0.0175313604622395,-0.03802985725182517,1.3822092421891639,-0.36151015848995277,0.0,0.887680174054936,0.04942736588306218,0.0
2018-04-16,110.21,88.21,16580500.0,2.83,16.56,0,0,0,0,0,0.21568627450980382,-0.0007929315813322013,0.02241320427602273,0.02033709208769723,0.017528176795138385,-0.040465571630588615,-0.5765181545125764,-0.35932609430578966,-0.020000000000000018,0.8992385096546097,0.04810126582278462,-0.020000000000000018
2018-04-17,110.21,88.21,15501400.0,2.82,15.25,0,0,0,0,0,0.21568627450980382,0.0,0.019780827072327273,0.020289705286411917,0.017526226270917877,-0.032785087719298334,-0.06508247640300358,-0.3391533007855171,-0.03000000000000025,0.9170519445199892,-0.1982124079915878,-0.03000000000000025
2018-04-18,109.32,87.49,16081400.0,2.87,15.6,0,0,0,0,0,0.21568627450980382,-0.00816233987076298,0.018713236081140037,0.020334518512761326,0.017485931113162503,-0.04162558878299938,0.0374159753312604,-0.2824388630325305,-0.020000000000000018,0.9122926298613,-0.1428571428571428,-0.020000000000000018
2018-04-19,111.72,89.41,17911000.0,2.92,15.96,0,0,0,0,0,0.21568627450980382,0.021945365184592447,0.017634837661617813,0.021021494272814068,0.017724355150455187,-0.02145124220203576,0.11377118907557793,-0.34379961924276214,0.029999999999999805,0.9073973347837911,-0.10638297872340419,0.029999999999999805
2018-04-20,111.47,89.21,15584400.0,2.96,16.88,0,0,0,0,0,0.21568627450980382,-0.0022368862543340473,0.011518777622265169,0.018699885124276252,0.01764515253895481,0.01896059394631644,-0.1298978281502987,-0.2377270532958652,0.1299999999999999,0.8948871362523797,-0.2767780634104542,0.1299999999999999
2018-04-23,110.93,88.78,11285800.0,2.98,16.34,0,0,0,0,0,0.21568627450980382,-0.0048200874341440825,0.011910203547223844,0.01759253520414161,0.017654249882267152,0.041896491022180626,-0.2758271091604425,-0.07292890835570814,0.16000000000000014,0.9022300788686429,-0.342983514274226,0.16000000000000014
2018-04-24,110.41,88.37,16453100.0,3.0,18.02,0,0,0,0,0,0.21568627450980382,-0.004618157242622156,0.012215752952749445,0.016290765575159582,0.01764507626373753,0.006033697632058299,0.45785854790976277,-0.1355225292503109,0.1499999999999999,0.879385368506935,-0.14312886352829302,0.1499999999999999
2018-04-25,109.99,88.03,13548200.0,3.03,17.84,0,0,0,0,0,0.21568627450980382,-0.003847459545094578,0.011594350675549942,0.01565647045322273,0.017649888552119342,0.021941026236359518,-0.1765563936279485,-0.04573412902354578,0.25,0.8818330160456894,-0.20711111111111113,0.25
2018-04-26,110.1,88.12,10299500.0,3.0,16.24,0,0,0,0,0,0.21568627450980382,0.0010223787345222668,0.0024166740793123503,0.01564249063167362,0.017613807338243814,0.02465116279069779,-0.23978831136239498,-0.030284166069795025,0.22999999999999998,0.9035898830568398,-0.28989943156974207,0.22999999999999998
2018-04-27,109.4,87.56,9384000.0,2.96,15.41,0,0,0,0,0,0.21568627450980382,-0.0063549704947798435,0.0028047407791224354,0.01520316274267203,0.017615176311415195,-0.00011419435879855833,-0.08888781008786839,-0.03571163158639697,0.21999999999999975,0.914876257818874,-0.22834251377065595,0.21999999999999975
2018-04-30,108.78,87.06,13744900.0,2.95,15.93,0,0,0,0,0,0.21568627450980382,-0.0057103700319780515,0.0029177314730423095,0.014581324953930214,0.017566919565654895,0.013740102468560833,0.46471653878942876,0.15828611560758168,0.2200000000000002,0.9078052760402502,-0.325571549534293,0.2200000000000002
2018-05-01,108.78,87.06,10503400.0,2.97,15.49,0,0,0,0,0,0.21568627450980382,0.0,0.0033353129388010443,0.014258865880046658,0.017345643145227,0.0,-0.23583292712205983,0.09330378197475599,0.18000000000000016,0.9137884144683166,-0.26587677725118486,0.18000000000000016
2018-05-02,107.92,86.37,12162100.0,2.97,15.97,0,0,0,0,0,0.21568627450980382,-0.007925568573397657,0.0040278046915682595,0.01390518485943775,0.01622880240892842,-0.02274270196877115,0.1579202924767218,0.050383809980789666,0.18000000000000016,0.9072613543649715,-0.2038883349950149,0.18000000000000016
2018-05-03,107.24,85.83,15379100.0,2.94,15.9,0,0,0,0,0,0.21568627450980382,-0.0062521708926711606,0.0030478846956720766,0.013535105187277222,0.015752360757549256,-0.04143399597945063,0.26451024083011987,0.02416840098947375,0.10999999999999988,0.9082132172967092,-0.16050686378035905,0.10999999999999988
2018-05-04,108.43,86.78,11967900.0,2.95,14.77,0,0,0,0,0,0.21568627450980382,0.011068391005476075,0.007769562352175492,0.012699220995611955,0.01579535463542757,-0.0060703241324018276,-0.22180751799520126,0.1847065310929463,0.18000000000000016,0.9235790046233342,-0.31270358306188917,0.18000000000000016
2018-05-07,109.37,87.53,9356700.0,2.95,14.75,0,0,0,0,0,0.21568627450980382,0.008642544365061067,0.008558385935027423,0.012549030604525876,0.014755677454686407,-0.00939339067451328,-0.21818364124031786,0.015476444132841431,0.17000000000000037,0.9238509654609737,-0.3224621038125861,0.17000000000000037
2018-05-08,110.99,88.83,12543200.0,2.97,14.71,0,0,0,0,0,0.21568627450980382,0.014852050725465471,0.01044723510497036,0.012231419601699477,0.014654031962462944,-0.01354802887284845,0.34055810274990117,-0.3022185291869845,0.17000000000000037,0.9243948871362524,-0.28138739618954556,0.17000000000000037
2018-05-09,113.41,90.77,11368100.0,3.0,13.42,0,0,0,0,0,0.21568627450980382,0.021839468647979254,0.010378199517832788,0.012580130183154946,0.014789115024782648,0.02530215746074771,-0.09368422731041526,-0.3017607700181491,0.20999999999999996,0.9419363611639924,-0.3369565217391304,0.20999999999999996
2018-05-10,114.29,91.47,9159700.0,2.97,13.23,0,0,0,0,0,0.21568627450980382,0.007711799052550372,0.005746585742414983,0.011411165533344866,0.014800502363438035,0.008044963632356295,-0.19426289353541926,-0.6231288411224926,0.14000000000000012,0.9445199891215665,-0.28447809626825304,0.14000000000000012
2018-05-11,113.86,91.13,10253000.0,2.97,12.65,0,0,0,0,0,0.21568627450980382,-0.003717065704602618,0.009471823377257755,0.009469946629124688,0.014506838154505902,0.03228364295423636,0.11935980436040472,-0.42986627464106864,0.15000000000000036,0.9524068534131085,-0.273406088454911,0.15000000000000036
2018-05-14,113.9,91.16,8710700.0,3.0,12.93,0,0,0,0,0,0.21568627450980382,0.00032920004389325186,0.010422201341580159,0.009458139023175514,0.014496782430038041,0.033442920303820456,-0.15042426606846782,-0.3798211066443491,0.16999999999999993,0.9485994016861572,-0.2192028985507246,0.16999999999999993
2018-05-15,113.03,90.46,11536200.0,3.08,14.63,0,0,0,0,0,0.21568627450980382,-0.007678806494076373,0.011629565772737832,0.009683452241726058,0.014501123140750355,0.025507312096134216,0.324371175680485,-0.34513124186458466,0.26000000000000023,0.9254827304868098,-0.04065573770491793,0.26000000000000023
2018-05-16,113.34,90.71,7571100.0,3.09,13.42,0,0,0,0,0,0.21568627450980382,0.0027636524430687537,0.005914573745717733,0.009426049671373301,0.01450565581416989,0.036804206194993805,-0.343709367035939,-0.3378372275237923,0.21999999999999975,0.9419363611639924,-0.1397435897435897,0.21999999999999975
2018-05-17,112.96,90.41,8617200.0,3.11,13.43,0,0,0,0,0,0.21568627450980382,-0.0033072428618674543,0.004015750554461776,0.008204877182793537,0.014500731715548033,0.011184431271669792,0.13817014700637942,-0.41370811158019366,0.18999999999999995,0.9418003807451727,-0.1585213032581454,0.18999999999999995
2018-05-18,111.13,88.94,11806300.0,3.06,13.42,0,0,0,0,0,0.21568627450980382,-0.016259263355823506,0.007505721982389281,0.00901781893986218,0.014648131087021253,-0.0030265665284160415,0.3700854105742004,-0.26526111121564827,0.10000000000000009,0.9419363611639924,-0.20497630331753547,0.10000000000000009
2018-05-21,112.15,89.76,9441900.0,3.06,13.08,0,0,0,0,0,0.21568627450980382,0.009219698673262888,0.009750906284784543,0.009177172131405844,0.014453857781661084,0.011038522189682487,-0.20026595969948247,-0.2882443834797971,0.08000000000000007,0.9465596954038619,-0.19951040391676866,0.08000000000000007
